x1,x2,xavg,estim,subj
-20,10,-5,-13.1644,1
20,-10,5,5.30779999999999,1
20,0,10,-3.385944,1
-10,20,5,8.43065,1
-10,0,-5,-8.20723,1
-20,10,-5,-6.2124787,1
-10,20,5,-3.0053,1
0,10,5,-7.610395,1
0,20,10,-3.402192,1
-10,10,0,-7.99448,1
0,-10,-5,-9.23238,1
-10,-20,-15,-8.56010000000001,1
0,10,5,-5.797402,1
10,20,15,12.1248,1
-20,-20,-20,-7.14075,1
20,0,10,10.6238,1
10,10,10,-8.5508,1
10,-10,0,-8.21299999999999,1
10,-20,-5,8.44,1
20,10,15,-11.4018,1
0,0,0,-5.35689,1
0,0,0,3.89776999999999,1
10,20,15,9.98228,1
-10,0,-5,6.25640000000001,1
-10,-10,-10,-8.5077,1
0,-10,-5,-7.8809,1
0,10,5,-4.87139999999999,1
10,0,5,5.73356,1
20,20,20,3.864514,1
20,0,10,-3.85290999999999,1
-10,-20,-15,-13.92801,1
